_id,municipio,nombre,provincia,sensores[0],sensores[1],sensores[2],sensores[3],sensores[4],sensores[5],sensores[6],sensores[7],sensores[8],sensores[9],sensores[10],sensores[11],sensores[12],sensores[13],sensores[14],sensores[15],sensores[16],sensores[17],sensores[18],sensores[19],snapshot,tipo_estacion
C0C1,Zalla,Aranguren,Bizkaia,ISCS,RMC1,,,,,,,,,,,,,,,,,,,20221003,GAUGING
B098,Mutriku,Mutriku,Gipuzkoa,Y0BX,K0S2,R0CB,,,,,,,,,,,,,,,,,,20221003,BUOY
C0C2,Balmaseda,Balmaseda,Bizkaia,NCC2,NTC2,ULC2,NOC2,NPC2,R0DF,NRC2,ISCR,ISCW,G467,,,,,,,,,,,20231220,QUALITY
C0D1,Oñati,Oñati,Gipuzkoa,G404,NRD1,NCD1,NTD1,NMD1,R0BB,NOD1,PRD1,NPD1,RMD1,,,,,,,,,,,20221003,QUALITY
C0D0,Aretxabaleta,Urkulu,Gipuzkoa,R0SK,RMD0,G451,RMD1,,,,,,,,,,,,,,,,,20221003,GAUGING
C0DB,Zumarraga,Aitzu,Gipuzkoa,R0AH,G480,ISBN,RMDB,,,,,,,,,,,,,,,,,20221003,QUALITY
C0C7,Trucios-Turtzioz,Cueto,Bizkaia,PUC7,R0SM,,,,,,,,,,,,,,,,,,,20240605,METEOROLOGICAL
C0C6,Sopuerta,Jarralta,Bizkaia,R085,PUC6,,,,,,,,,,,,,,,,,,,20240605,METEOROLOGICAL
C0D2,Bergara,San Prudentzio,Gipuzkoa,NTD2,NPD2,ORD2,NAD2,G4R9,NRD2,R0BD,NCD2,NMD2,ISD2,NOD2,RMD2,,,,,,,,,20230419,QUALITY
B091,Lemoiz,Puerto de Armintza,Bizkaia,MO04,MI04,RN04,SP04,CT24,VV04,CT23,CT22,CT21,CT20,DV04,TA04,CB29,CB28,CB27,CB26,HA04,CB25,CB24,,20210526,BUOY
C0C8,Aulesti,Aulesti,Bizkaia,RAC8,URC8,,,,,,,,,,,,,,,,,,,20240605,METEOROLOGICAL
C0D3,Elorrio,Aixola,Bizkaia,G4AE,RMD3,R0RN,ISBF,,,,,,,,,,,,,,,,,20221003,GAUGING
C0E8,Lizartza,Araxes,Gipuzkoa,NOE8,NPE8,NRE8,R0RG,ISBQ,G433,NCE8,NTE8,ULE8,,,,,,,,,,,,20221003,GAUGING
C0DC,Azpeitia,Ibai Eder,Gipuzkoa,IS06,R0Z1,K011,G496,RMDC,,,,,,,,,,,,,,,,20221003,QUALITY
C0E7,Beasain,Estanda,Gipuzkoa,PRE7,R0HN,RME7,G457,,,,,,,,,,,,,,,,,20221003,QUALITY
C0DD,Zestoa,Aizarnazabal,Gipuzkoa,NRDD,NTDD,NODD,NPDD,ORDD,SSDD,PRDD,NCDD,NADD,G4F4,NMDD,R0CB,RMDD,,,,,,,,20221003,QUALITY
C0E1,Zaldibia,Amundarain,Gipuzkoa,NRE1,ULE1,NCE1,G4F0,NTD1,NOE1,R0FG,NPE1,SSE1,DRE1,,,,,,,,,,,20221003,GAUGING
C0E5,Ataun,Agauntza,Gipuzkoa,PRE5,R0CD,RME5,G4AP,,,,,,,,,,,,,,,,,20221003,GAUGING
C0DE,Beasain,Matxinbenta,Gipuzkoa,R0HK,G4C1,ISBP,,,,,,,,,,,,,,,,,,20230616,GAUGING
C0E9,Alegia,Alegia,Gipuzkoa,NOE9,NPE9,SSE9,NAE9,PRE9,NME9,G4D0,RME9,R0RP,NRE9,NCE9,NTE9,,,,,,,,,20221003,QUALITY
E001,Zeanuri,Undurraga,Bizkaia,RME1,CAE1,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0F1,Goizueta,Eskas,Navarra,R0RU,GIF1,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0F4,Errenteria,Oiartzun,Gipuzkoa,NTF4,G4RG,NPF4,NRF4,NCF4,SSF4,ISF4,NOF4,RMF4,R0RM,,,,,,,,,,,20230314,QUALITY
C0EC,Lasarte-Oria,Lasarte,Gipuzkoa,NPEC,NREC,ISEC,G415,Y0BD,K605,NAEC,NCEC,SSEC,NMEC,R0BC,NOEC,RMEC,,,,,,,,20221003,QUALITY
M09A,Bermeo,Mareógrafo Bermeo,Bizkaia,IS9A,,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0F0,Hernani,Ereñozu,Gipuzkoa,Y0R4,R0Z0,RMF0,NTF0,NPF0,PRF0,NRF0,G4DB,NCF0,SSF0,NOF0,,,,,,,,,,20221003,QUALITY
E000,Zeanuri,Olabarria,Bizkaia,NIE0,CAE0,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0EA,Belauntza,Belauntza,Gipuzkoa,RMEA,NREA,NCEA,NTEA,NOEA,NPEA,G4D2,ISR1,R0FQ,,,,,,,,,,,,20221003,QUALITY
