_id,afluencia,año,fecha,mes,meterId,source,vehiculos,vel_circulacion,vel_media
5_2024-03-08,3,2024,2024-03-08,1,5,1,22970,2,116.10416666666667
5_2024-03-09,0,2024,2024-03-09,1,5,1,13525,2,116.4375
5_2024-03-10,4,2024,2024-03-10,1,5,1,10982,2,115.54166666666667
5_2024-03-11,3,2024,2024-03-11,1,5,1,22218,2,112.5
5_2024-03-12,3,2024,2024-03-12,1,5,1,22490,2,115.14893617021276
5_2024-03-13,3,2024,2024-03-13,1,5,1,24034,2,115.04166666666667
5_2024-03-14,4,2024,2024-03-14,1,5,1,5202,2,117.6842105263158
10_2024-01-01,4,2024,2024-01-01,1,10,1,7520,2,108.89583333333333
10_2024-01-02,4,2024,2024-01-02,1,10,1,12420,0,98.77083333333333
10_2024-01-03,4,2024,2024-01-03,1,10,1,10104,0,96.04166666666667
10_2024-01-04,4,2024,2024-01-04,1,10,1,9530,0,98.33333333333333
10_2024-01-05,4,2024,2024-01-05,1,10,1,9390,0,98.5
10_2024-01-06,4,2024,2024-01-06,1,10,1,7696,2,102.95833333333333
10_2024-01-07,4,2024,2024-01-07,1,10,1,10936,2,105.98958333333333
10_2024-01-08,4,2024,2024-01-08,1,10,1,10167,0,96.09375
10_2024-01-09,4,2024,2024-01-09,1,10,1,10772,0,92.66666666666667
10_2024-01-10,2,2024,2024-01-10,1,10,1,3324,0,91.63636363636364
10_2024-01-11,4,2024,2024-01-11,1,10,1,6046,0,97.55172413793103
10_2024-01-12,4,2024,2024-01-12,1,10,1,8060,0,96.43478260869566
10_2024-01-13,4,2024,2024-01-13,1,10,1,6058,0,100.33333333333333
10_2024-01-14,4,2024,2024-01-14,1,10,1,7090,2,102.64583333333333
10_2024-01-15,4,2024,2024-01-15,1,10,1,10136,0,94.27083333333333
10_2024-01-16,4,2024,2024-01-16,1,10,1,10606,0,92.33333333333333
10_2024-01-17,4,2024,2024-01-17,1,10,1,9108,0,93.45833333333333
10_2024-01-18,4,2024,2024-01-18,1,10,1,8656,0,92.95833333333333
10_2024-01-19,4,2024,2024-01-19,1,10,1,8544,0,96.91666666666667
10_2024-01-20,4,2024,2024-01-20,1,10,1,6224,0,99.46875
10_2024-01-21,4,2024,2024-01-21,1,10,1,7742,2,102.85416666666667
10_2024-01-22,4,2024,2024-01-22,1,10,1,10082,0,93.79166666666667
10_2024-01-23,4,2024,2024-01-23,1,10,1,10262,0,92.08333333333333
10_2024-01-24,4,2024,2024-01-24,1,10,1,8862,0,93.9375
10_2024-01-25,4,2024,2024-01-25,1,10,1,8836,0,96.79166666666667
10_2024-01-26,4,2024,2024-01-26,1,10,1,9314,0,97.875
10_2024-01-27,4,2024,2024-01-27,1,10,1,6342,0,100.6875
10_2024-01-28,4,2024,2024-01-28,1,10,1,8448,2,102.95833333333333
10_2024-01-29,4,2024,2024-01-29,1,10,1,9734,0,94.54166666666667
10_2024-01-30,4,2024,2024-01-30,1,10,1,10482,0,92.54166666666667
10_2024-01-31,4,2024,2024-01-31,1,10,1,9651,0,93.94791666666667
10_2024-02-01,4,2024,2024-02-01,1,10,1,8920,0,95.375
10_2024-02-02,4,2024,2024-02-02,1,10,1,9474,0,97.35416666666667
10_2024-02-03,4,2024,2024-02-03,1,10,1,6136,0,100.1875
10_2024-02-04,4,2024,2024-02-04,1,10,1,8542,0,101
10_2024-02-05,4,2024,2024-02-05,1,10,1,10438,0,94.3125
10_2024-02-06,4,2024,2024-02-06,1,10,1,11376,0,92.375
10_2024-02-07,4,2024,2024-02-07,1,10,1,10438,0,93.16666666666667
10_2024-02-08,4,2024,2024-02-08,1,10,1,9178,0,96.20833333333333
10_2024-02-09,4,2024,2024-02-09,1,10,1,10086,0,96.60416666666667
10_2024-02-10,4,2024,2024-02-10,1,10,1,6452,0,99.875
10_2024-02-11,4,2024,2024-02-11,1,10,1,8812,2,103.6875
10_2024-02-12,4,2024,2024-02-12,1,10,1,11574,0,94.95833333333333
