_id,cause,cityTown,incidenceType,province,road,sourceId,startDate,clave_union,nivel_incidencias
232784,Avería,Orozko,Seguridad vial,BIZKAIA,AP-68,1,2024-02-11T18:22:07.000Z,2024-02-11_BIZKAIA_Seguridad vial,1
232783,Salida,Lemoiz,Accidente,BIZKAIA,BI-2120,1,2024-02-11T17:41:28.000Z,2024-02-11_BIZKAIA_Accidente,0
232782,Socavón,Beasain,Seguridad vial,GIPUZKOA,N-1,1,2024-02-11T16:05:09.000Z,2024-02-11_GIPUZKOA_Seguridad vial,0
232781,Avería,Arrigorriaga,Seguridad vial,BIZKAIA,AP-68,1,2024-02-11T16:47:24.000Z,2024-02-11_BIZKAIA_Seguridad vial,1
232780,Avería,Barakaldo,Seguridad vial,BIZKAIA,A-8,1,2024-02-11T15:33:38.000Z,2024-02-11_BIZKAIA_Seguridad vial,1
232779,Avería,Muskiz,Seguridad vial,BIZKAIA,A-8,1,2024-02-11T14:40:12.000Z,2024-02-11_BIZKAIA_Seguridad vial,1
232778,Agua,Aia,Meteorológica,GIPUZKOA,GI-3161,1,2024-02-11T09:53:14.000Z,2024-02-11_GIPUZKOA_Meteorológica,0
232777,Salida,Arraia-Maeztu,Accidente,ARABA,A-132,1,2024-02-11T10:47:54.000Z,2024-02-11_ARABA_Accidente,0
232776,Desprendimiento,Zarautz,Seguridad vial,GIPUZKOA,N-634,1,2024-02-11T10:54:55.000Z,2024-02-11_GIPUZKOA_Seguridad vial,0
232775,Avería,Durango,Seguridad vial,BIZKAIA,BI-623,1,2024-02-11T08:54:37.000Z,2024-02-11_BIZKAIA_Seguridad vial,1
232774,Obras,Galdakao,Obras,BIZKAIA,N-634,1,2024-02-11T06:07:04.000Z,2024-02-11_BIZKAIA_Obras,1
233078,Desconocida,road,Vialidad invernal tramos,ARABA,N-124,1,2024-02-12T23:04:06.000Z,2024-02-12_ARABA_Vialidad invernal tramos,2
233077,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-02-12T23:04:06.000Z,2024-02-12_GIPUZKOA_Vialidad invernal tramos,1
233076,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-02-12T23:04:06.000Z,2024-02-12_GIPUZKOA_Vialidad invernal tramos,1
